サン,18208102/1072682619
ンケ,34750855351/421169770680
スポ,30327870/1095047993
ポー,118731179/3285143979
ーツ,553574421506/15371188677741
ニュ,4906870467747993760362267932271766706699611146460060415721211682914819696013361894538622377790524379040181433138647/455868738764406297990918451530669774704280904446453653498535711757356369711113664673822463071652595294435419357184000
ュー,39304533728270904150330846419890855501624755211593156706061868957697195914583379316182314632680495240867676664951082511770353/1316168008449227860538375961267324956428988032806732089140651497816911380857247672610991929200020072130410807936283658158080000
ース,418172533045151006129810799528545133582164021370625571459200396389660820330203545564616515087958227053323030085859857116691642351/10504624518403903826978831830370671310481759241106244820770686178142022096842257564354086398791104839988689293582781997289308160000
ード,926638174592858439732151687326900612081674576410722196915103/29169225268111368733223822062260599311112416134143144110080000
ート,103603406206246046118744431516513/3757868495915032378066704478214400
スポー,99980762/1095047993
ポーツ,82804078/1095047993
ニュー,798652526804687828100963966658407296058097926350581700006193134797333954055330831498606237093139927554900179267081/11688942019600161486946626962324866018058484729396247525603479788650163325925991401892883668503912699857318445056000
ュース,3172605646934106529269300709330335729745358345174523760306356640776900276373018176373781497818756933307458543168984503/40755713219650025123831766850638500087929849135454212838064491563778366018540713607275759974382918232185272319082496000
共和国,277474582922/31014256322293
スポーツ,516540892/3285143979
ニュース,23236602693880765920943710407922004487128115773893254684287805139625927764162069352053145682254678104880160686510661/162810263844430820711042304118096348108671751588019161963762754199055846325397737383508022525590212605155506913280000
・ブ,198/31679
ブラ,490/31679
ラゼ,880/95037
ゼル,580/95037
ケイ,216/31679
イス,420/31679
・ブラ,819/31679
ブラゼ,840/31679
ラゼル,830/31679
（サン,584/31679
サンケ,657/31679
ンケイ,774/31679
ケイス,882/31679
イスポ,990/31679
ーツ）,16/401
マツダ,352/31679
・ブラゼ,1560/31679
ブラゼル,5320/95037
サンケイ,1512/31679
ンケイス,1884/31679
ケイスポ,1764/31679
イスポー,2916/31679
ポーツ）,2240/31679
・ブラゼル,2820/31679
サンケイス,3090/31679
ンケイスポ,3225/31679
ケイスポー,4335/31679
イスポーツ,4845/31679
スポーツ）,12200/95037
サンケイスポ,4914/31679
ンケイスポー,6588/31679
ケイスポーツ,6804/31679
サンケイスポー,9093/31679
ンケイスポーツ,9744/31679
サンケイスポーツ,12960/31679
アッ,142220535405/7683141365662
ップ,2036223375964275413516352645891509016274347276390129626441785506258214099/193462178559497053800439976774853477567687352467006141597369457231134720000
プル,182604924794/11524712048493
ジャ,361909745807/48714188774478
ャパ,11026468/2133655011
パン,19020728/2133655011
